iter	Passed	Remaining
0	31	3077
1	63	3112
2	92	3000
3	123	2961
4	153	2920
5	186	2920
6	217	2895
7	248	2853
8	278	2818
9	310	2796
10	342	2770
11	372	2734
12	404	2705
13	435	2675
14	465	2640
15	495	2603
16	527	2573
17	558	2544
18	596	2542
19	634	2536
20	668	2513
21	699	2479
22	730	2445
23	767	2430
24	788	2365
25	823	2345
26	862	2330
27	909	2337
28	943	2310
29	976	2279
30	1010	2248
31	1069	2272
32	1112	2259
33	1152	2237
34	1196	2221
35	1238	2201
36	1278	2176
37	1318	2150
38	1358	2125
39	1399	2099
40	1439	2072
41	1484	2049
42	1527	2024
43	1567	1995
44	1608	1965
45	1648	1935
46	1682	1897
47	1716	1859
48	1749	1820
49	1780	1780
50	1812	1740
51	1844	1702
52	1876	1663
53	1907	1625
54	1939	1587
55	1971	1549
56	2003	1511
57	2035	1473
58	2067	1436
59	2098	1399
60	2130	1362
61	2163	1325
62	2196	1289
63	2228	1253
64	2261	1217
65	2294	1181
66	2326	1145
67	2357	1109
68	2391	1074
69	2424	1039
70	2456	1003
71	2488	967
72	2520	932
73	2555	897
74	2590	863
75	2622	828
76	2656	793
77	2688	758
78	2721	723
79	2753	688
80	2785	653
81	2817	618
82	2849	583
83	2883	549
84	2918	515
85	2954	480
86	2990	446
87	3025	412
88	3062	378
89	3076	341
90	3107	307
91	3138	272
92	3156	237
93	3188	203
94	3221	169
95	3240	135
96	3272	101
97	3305	67
98	3337	33
99	3369	0
